Indicators:,cultural,borders,gatherings,manufacturing,contact,leisure,eateries,schools ,stores,last week,mean,rounded,round,date,average,std dev,change
France,3,3,2,4,3,3,3,3,3,2.78,3,3,5,2020-06-19,2.727272727,0.578541912,0.22
Germany,3,3,2,4,4,4,4,3,4,3.33,3.44,3,5,2020-06-19,2.727272727,0.578541912,0.11
Ireland,2,3,2,3,1,3,2,1,4,2.11,2.33,2,5,2020-06-19,2.727272727,0.578541912,0.22
Luxembourg,4,3,4,4,3,3,4,3,4,3.44,3.56,3,5,2020-06-19,2.727272727,0.578541912,0.12
Netherlands,4,3,2,4,3,4,4,4,4,3.11,3.56,3,5,2020-06-19,2.727272727,0.578541912,0.45
Portugal,4,3,2,4,4,4,4,2,3,3.33,3.33,3,5,2020-06-19,2.727272727,0.578541912,0
Spain,4,2,4,4,3,4,3,3,3,3.22,3.33,3,5,2020-06-19,2.727272727,0.578541912,0.11
UnitedKingdom,1,3,2,3,1,2,2,2,2,1.89,2,2,5,2020-06-19,2.727272727,0.578541912,0.11
CzechRepublic,4,3,4,4,4,4,4,3,4,3.78,3.78,3,5,2020-06-19,2.727272727,0.578541912,0
Hungary,4,3,3,4,4,4,4,4,4,3.67,3.78,3,5,2020-06-19,2.727272727,0.578541912,0.11
Latvia,4,3,4,4,4,4,4,3,4,3.22,3.78,3,5,2020-06-19,2.727272727,0.578541912,0.56
Lithuania,4,3,4,4,4,4,4,4,4,3.33,3.89,3,5,2020-06-19,2.727272727,0.578541912,0.56
Poland,4,3,3,4,4,4,4,3,4,3.67,3.67,3,5,2020-06-19,2.727272727,0.578541912,0
Slovakia,4,3,4,4,4,4,4,4,4,3.67,3.89,3,5,2020-06-19,2.727272727,0.578541912,0.22
Austria,4,3,3,4,4,4,4,3,4,3.22,3.67,3,5,2020-06-19,2.727272727,0.578541912,0.45
Greece,4,3,3,-10,4,4,4,4,4,3.25,3.75,3,5,2020-06-19,2.727272727,0.578541912,0.5
Italy,4,3,4,4,3,4,4,1,4,3.22,3.44,3,5,2020-06-19,2.727272727,0.578541912,0.22
Slovenia,4,3,4,-10,4,4,4,4,4,3.88,3.88,3,5,2020-06-19,2.727272727,0.578541912,0
Switzerland,4,3,4,-10,4,4,4,4,4,3.75,3.88,3,5,2020-06-19,2.727272727,0.578541912,0.13
Australia,3,2,3,4,3,3,3,4,3,3,3.11,3,5,2020-06-19,2.727272727,0.578541912,0.11
Israel,3,2,3,4,4,3,3,4,4,3.33,3.33,3,5,2020-06-19,2.727272727,0.578541912,0
Japan,4,3,4,4,4,3,4,3,4,3.67,3.67,3,5,2020-06-19,2.727272727,0.578541912,0
NewZealand,4,2,5,4,4,4,4,4,4,3.89,3.89,3,5,2020-06-19,2.727272727,0.578541912,0
SouthKorea,4,3,3,4,4,3,3,4,4,3.56,3.56,3,5,2020-06-19,2.727272727,0.578541912,0
Turkey,4,3,3,4,4,4,4,2,3,3.44,3.44,3,5,2020-06-19,2.727272727,0.578541912,0
Denmark,4,3,3,4,4,4,4,3,4,3.56,3.67,3,5,2020-06-19,2.727272727,0.578541912,0.11
Estonia,4,3,3,4,4,4,4,3,4,3.67,3.67,3,5,2020-06-19,2.727272727,0.578541912,0
Finland,4,3,4,4,4,4,3,4,4,3.44,3.78,3,5,2020-06-19,2.727272727,0.578541912,0.34
Iceland,4,3,4,4,4,4,4,4,4,3.78,3.89,3,5,2020-06-19,2.727272727,0.578541912,0.11
Norway,4,3,4,4,4,4,4,4,4,3.67,3.89,3,5,2020-06-19,2.727272727,0.578541912,0.22
Sweden,4,3,3,4,4,4,4,4,4,3.78,3.78,3,5,2020-06-19,2.727272727,0.578541912,0
Chile,1,2,2,-10,1,1,1,1,1,1.25,1.25,1,5,2020-06-19,2.727272727,0.578541912,0
Mexico,1,2,1,3,1,2,2,1,1,1.56,1.56,1,5,2020-06-19,2.727272727,0.578541912,0
CaliforniaUSA,4,3,3,4,3,3,3,1,4,3,3.11,3,5,2020-06-19,2.727272727,0.578541912,0.11
IllinoisUSA,2,3,2,4,3,2,3,2,3,2.67,2.67,2,5,2020-06-19,2.727272727,0.578541912,0
MichiganUSA,3,3,3,4,3,3,3,3,3,3,3.11,3,5,2020-06-19,2.727272727,0.578541912,0.11
NewYorkUSA,1,3,2,3,1,2,2,1,2,1.89,1.89,1,5,2020-06-19,2.727272727,0.578541912,0
TexasUSA,4,3,4,4,4,4,4,4,4,3.67,3.89,3,5,2020-06-19,2.727272727,0.578541912,0.22
AlbertaCanada,3,2,3,4,3,4,4,3,3,3.22,3.22,3,5,2020-06-19,2.727272727,0.578541912,0
BritishColumbiaCanada,3,2,2,3,3,2,4,2,3,2.56,2.67,2,5,2020-06-19,2.727272727,0.578541912,0.11
